,location_name,fips,year,MeanLifeExpectency
228,Autauga County (Alabama),1001,2010,75.72848935
234,Baldwin County (Alabama),1003,2010,77.82660774
240,Barbour County (Alabama),1005,2010,75.84197335
246,Bibb County (Alabama),1007,2010,73.70543191
252,Blount County (Alabama),1009,2010,75.75340734
258,Bullock County (Alabama),1011,2010,74.18785554
264,Butler County (Alabama),1013,2010,73.79427475
270,Calhoun County (Alabama),1015,2010,73.71411381
276,Chambers County (Alabama),1017,2010,74.21140886
282,Cherokee County (Alabama),1019,2010,74.93924549
288,Chilton County (Alabama),1021,2010,74.11965042
294,Choctaw County (Alabama),1023,2010,75.03655825
300,Clarke County (Alabama),1025,2010,75.46885284
306,Clay County (Alabama),1027,2010,74.63753607
312,Cleburne County (Alabama),1029,2010,74.10980637
318,Coffee County (Alabama),1031,2010,76.67537377
324,Colbert County (Alabama),1033,2010,75.05279712
330,Conecuh County (Alabama),1035,2010,74.29115861
336,Coosa County (Alabama),1037,2010,75.22649599
342,Covington County (Alabama),1039,2010,74.98762066
348,Crenshaw County (Alabama),1041,2010,74.41344671
354,Cullman County (Alabama),1043,2010,75.06151311
360,Dale County (Alabama),1045,2010,76.3776327
366,Dallas County (Alabama),1047,2010,72.19489462
372,DeKalb County (Alabama),1049,2010,74.93268787
378,Elmore County (Alabama),1051,2010,76.05498358
384,Escambia County (Alabama),1053,2010,74.07253395
390,Etowah County (Alabama),1055,2010,73.39969086
396,Fayette County (Alabama),1057,2010,74.0149768
402,Franklin County (Alabama),1059,2010,73.7394411
408,Geneva County (Alabama),1061,2010,75.41729582
414,Greene County (Alabama),1063,2010,74.86852307
420,Hale County (Alabama),1065,2010,73.99661806
426,Henry County (Alabama),1067,2010,75.72464774
432,Houston County (Alabama),1069,2010,76.57379048
438,Jackson County (Alabama),1071,2010,74.05630448
444,Jefferson County (Alabama),1073,2010,74.78205328
450,Lamar County (Alabama),1075,2010,74.69330664
456,Lauderdale County (Alabama),1077,2010,76.60780536
462,Lawrence County (Alabama),1079,2010,74.43212911
468,Lee County (Alabama),1081,2010,77.31420747
474,Limestone County (Alabama),1083,2010,77.35492498
480,Lowndes County (Alabama),1085,2010,72.66253829
486,Macon County (Alabama),1087,2010,73.37666394
492,Madison County (Alabama),1089,2010,77.68127364
498,Marengo County (Alabama),1091,2010,74.71868455
504,Marion County (Alabama),1093,2010,74.27627245
510,Marshall County (Alabama),1095,2010,74.43033215
516,Mobile County (Alabama),1097,2010,74.84901003
522,Monroe County (Alabama),1099,2010,74.82099303
528,Montgomery County (Alabama),1101,2010,75.90034609
534,Morgan County (Alabama),1103,2010,75.83473709
540,Perry County (Alabama),1105,2010,72.25444463
546,Pickens County (Alabama),1107,2010,74.43577342
552,Pike County (Alabama),1109,2010,75.12649567
558,Randolph County (Alabama),1111,2010,74.40910512
564,Russell County (Alabama),1113,2010,74.01053582
570,Saint Clair County (Alabama),1115,2010,75.06328303
576,Shelby County (Alabama),1117,2010,79.36059422
582,Sumter County (Alabama),1119,2010,74.79215721
588,Talladega County (Alabama),1121,2010,73.68825472
594,Tallapoosa County (Alabama),1123,2010,75.07743571
